ProductId,ProductCategory,ProductTitle,ProductReference,ProductPrice,ProductImageUrl
3777,Make-up/Sponges and puffs,b'Make-up sponge Hearts 4 pcs',Art. nr 9672,5.79,http://donegal.com.pl/2964-large_default/9672.jpg
3314,Make-up/Sponges and puffs,b'Make-up sponge 4 pcs',Art. nr 4307,6.99,http://donegal.com.pl/241-large_default/gabeczki-do-makijazu-4-szt.jpg
1296,Make-up/Sponges and puffs,b'Make-up sponge 8 pcs',Art. nr 4300,5.59,http://donegal.com.pl/1123-large_default/gabka-kosmetyczna-8-szt.jpg
3612,Make-up/Sponges and puffs,b'Make-up sponge applicator',Art. nr 4316,14.89,http://donegal.com.pl/1381-large_default/aplikator-do-podkladu.jpg
3613,Make-up/Sponges and puffs,b'Make-up sponge applicator',Art. nr 4315,14.89,http://donegal.com.pl/2113-large_default/aplikator-do-podkladu.jpg
1304,Make-up/Sponges and puffs,b'Cosmetic sponge',Art. nr 9265,3.99,http://donegal.com.pl/1202-large_default/gabka-lateksowa.jpg
1295,Make-up/Sponges and puffs,b'Cosmetic sponge 2 pcs',Art. nr 1077,7.39,http://donegal.com.pl/1864-large_default/gabka-lateksowa-kpl-2-szt.jpg
3310,Make-up/Sponges and puffs,b'Make-up sponge 4 pcs',Art. nr 4306,5.99,http://donegal.com.pl/121-large_default/gabeczki-do-makijazu-4-szt.jpg
3827,Make-up/Sponges and puffs,b'Make-up sponge 12 pcs',Art. nr 4328,6.19,http://donegal.com.pl/2971-large_default/4328.jpg
1297,Make-up/Sponges and puffs,b'Make-up sponge 24 pcs',Art. nr 4301,9.69,http://donegal.com.pl/2668-large_default/gabka-kosmetyczna-24-szt.jpg
1305,Make-up/Sponges and puffs,b'Cellulose make-up sponge 2 pcs',Art. nr 9617,9.79,http://donegal.com.pl/2011-large_default/gabka-celulozowa-2-szt.jpg
1303,Make-up/Sponges and puffs,b'Cellulose make-up sponge',Art. nr 9084,3.29,http://donegal.com.pl/2758-large_default/gabka-celulozowa.jpg
1308,Make-up/Sponges and puffs,b'Cellulose make-up sponge 2 pcs',Art. nr 9752,6.89,http://donegal.com.pl/670-large_default/gabka-celulozowa-2-szt.jpg

3860,Make-up/Brushes,b'Powder brush SORBET BRUSH',Art. nr 4225,34.99,http://donegal.com.pl/3030-large_default/4225.jpg
3867,Make-up/Brushes,b'Tapered powder brush SORBET BRUSH',Art. nr 4228,34.99,http://donegal.com.pl/3037-large_default/4228.jpg
